nct_id,title,status,study_type,intervention_type,phase,locations,start_date,completion_date,enrollment,study_duration_days
NCT01620684,The Effects of Cortisol Blockade on Nutritional Sympathetic Nervous System Responsiveness in Overweight and Obese Subjects With Metabolic Syndrome,UNKNOWN,INTERVENTIONAL,DRUG,['PHASE4'],1,2013-02-01,,24.0,4819.0
NCT02811874,Efficacy of Community Health Workers Education in Diabetes Control: A Randomized Clinical Trial,COMPLETED,INTERVENTIONAL,BEHAVIORAL,['NA'],2,2009-02-01,2010-12-01,118.0,668.0
NCT05577169,Incorporating Mind-body Skills With Diabetes Education in Adolescents With Type 1 Diabetes,COMPLETED,INTERVENTIONAL,BEHAVIORAL,['NA'],2,,,30.0,792.0
NCT01384058,"The Effect of Ezetimibe 10 mg, Simvastatin 20 mg and the Combination of Simvastatin 20 mg Plus 10 mg Ezetimibe on Low Density Lipoprotein (LDL)-Subfractions in Patients With Type 2 Diabetes",COMPLETED,INTERVENTIONAL,DRUG,['PHASE4'],2,2007-11-01,2010-06-01,41.0,943.0
NCT03534284,Short and Long-Term Effectiveness of Existing Insomnia Therapies for Patients Undergoing Hemodialysis (Sleep-HD),COMPLETED,INTERVENTIONAL,BEHAVIORAL,['PHASE3'],1,,,126.0,792.0
NCT01598389,Eating Behaviors Among Weight-Discordant Siblings,COMPLETED,INTERVENTIONAL,OTHER,['NA'],1,2008-10-01,2011-05-01,94.0,942.0
NCT02890693,Improving Cardio-metabolic and Mental Health in Women With Gestational Diabetes Mellitus (GDM) and Their Offspring: MySweetHeart Trial,COMPLETED,INTERVENTIONAL,BEHAVIORAL,['NA'],1,2016-09-01,,211.0,3511.0
NCT04190277,Safety Assessment of DBLUS System in Adolescent and Adult Patients With Type 1 Diabetes and Assessment of Its Clinical Efficacy in a Randomized Trial for 3 Months Followed by an Extension Period,TERMINATED,INTERVENTIONAL,DEVICE,['NA'],9,,,184.0,792.0
NCT03344341,"A 24-Week, Multicenter, Randomized, Parallel-group, Open-label, Active Controlled Phase IV Study to Assess the Efficacy and Safety of Dapagliflozin as Monotherapy Compared With Acarbose in Drug-Naive Patients With Type 2 Diabetes Mellitus (T2DM) in China",TERMINATED,INTERVENTIONAL,DRUG,['PHASE4'],20,,,304.0,792.0
NCT04588857,Randomized Double-blind Placebo-controlled Trial on the Efficacy of a Single Dose Dexamethasone in Reducing the Postembolization Syndrome in Men Undergoing Prostatic Artery Embolization for Benign Prostatic Hyperplasia,UNKNOWN,INTERVENTIONAL,DRUG,['PHASE4'],1,,,60.0,792.0
NCT03365531,A Randomized Controlled Trial of Caloric Restriction vs. Alternate-Day Fasting in Patients With Non-Alcoholic Fatty Liver Disease,TERMINATED,INTERVENTIONAL,OTHER,['NA'],1,,,7.0,792.0
NCT02930031,Evidence of a Redox-dependent Regulation of Immune Responses to Exercise-Induced Inflammation,COMPLETED,INTERVENTIONAL,DIETARY_SUPPLEMENT,['NA'],1,2015-01-01,2016-03-01,10.0,425.0
NCT02708758,Efficacy of Treatment in Women With Gestational Diabetes Mellitus Diagnosed by One Altered Value by the International Association of Diabetes and Pregnancy Study Groups Criteria (IADPSG).,UNKNOWN,INTERVENTIONAL,BEHAVIORAL,['NA'],1,2016-03-01,2021-12-01,400.0,2101.0
NCT01879033,Effect Of Obesity And Hyperglycemia on Endothelial Function in Inner City Bronx Adolescents,COMPLETED,INTERVENTIONAL,OTHER,['NA'],1,2011-03-01,2014-01-01,60.0,1037.0
